1. Asistente de tesoreria | ACTIVOS S.A.S.
2. Jefe de contabilidad | STAFFING DE COLOMBIA
3. Analista junior de cartera | Empresa confidencial
4. Analista junior de cartera  | ADECCO COLOMBIA S A
5. Auxiliar de honorarios | Empresa confidencial
6. Analista junior de cartera | Empresa confidencial
7. Preséntate del 9 al 12 de abril asesor financiero  | SERDAN SA
8. Analista sap | Empresa confidencial
9. Jefe de contabilidad | STAFFING DE COLOMBIA
10. Asistente contable mercado masivo  | Empresa confidencial
11. Coordinador administrativo y de servicio | STAR CONSULTING GROUP SAS
12. Asistente de nomina y recursos humanos | MOLINOS CAPRI
13. Oficinista cartera | CAFAM
14. Asistente contable bancos  | KPMG
15. Auxiliar contable | Empresa confidencial
16. Auxiliar contable | MOLINOS CAPRI
17. Auxiliar contable | GESTION COMPETITIVA SAS
18. Asistente administrativo y contable.  | Colliers International Colombia S.A
19. Auxiliar de recaudo ii | CONSORCIO SALUD COMPENSAR Y COMFENALCO VALLE.
20. Auxiliar de contabilidad | Empresa confidencial
